lat,lon,bearing,image_path,way_id,node_id,offset_id
-38.175524,145.109570,329,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175524\145.109570\329\gsv_0.jpg,172385134,458401333,-10
-38.175601,145.109629,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175601\145.109629\148\gsv_0.jpg,172385134,458401333,0
-38.175678,145.109690,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175678\145.109690\148\gsv_0.jpg,172385134,458401333,10
-38.175754,145.109750,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175754\145.109750\148\gsv_0.jpg,172385134,458401333,20
-38.175868,145.109840,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175868\145.109840\328\gsv_0.jpg,172385134,6161031634,-20
-38.175944,145.109901,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.175944\145.109901\328\gsv_0.jpg,172385134,6161031634,-10
-38.176020,145.109961,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176020\145.109961\148\gsv_0.jpg,172385134,6161031634,0
-38.176097,145.110021,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176097\145.110021\148\gsv_0.jpg,172385134,6161031634,10
-38.176174,145.110081,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176174\145.110081\148\gsv_0.jpg,172385134,6161031634,20
-38.176448,145.110295,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176448\145.110295\328\gsv_0.jpg,172385134,6161031624,-20
-38.176525,145.110355,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176525\145.110355\328\gsv_0.jpg,172385134,6161031624,-10
-38.176601,145.110415,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176601\145.110415\148\gsv_0.jpg,172385134,6161031624,0
-38.176678,145.110475,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176678\145.110475\148\gsv_0.jpg,172385134,6161031624,10
-38.176754,145.110536,148,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.176754\145.110536\148\gsv_0.jpg,172385134,6161031624,20
-38.177140,145.110841,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177140\145.110841\328\gsv_0.jpg,172385134,2923267118,-20
-38.177216,145.110901,328,D:\TensorFlow2\TFODCourse\minor_thesis\data_sources\gsv\-38.177216\145.110901\328\gsv_0.jpg,172385134,2923267118,-10
