filename,prefix,frame_num,lat,lon,altitude,heading,left_lane_pixels_bottom,left_lane_pixels_top
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0900.png,FILE210926-101400F,900,-38.1736930,145.1081700,84.900000,327.720000,242.92,3.01
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0912.png,FILE210926-101400F,912,-38.1736778,145.1081554,84.900000,326.496000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0924.png,FILE210926-101400F,924,-38.1736626,145.1081408,84.900000,325.272000,163.83,61.09
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0936.png,FILE210926-101400F,936,-38.1736474,145.1081262,84.900000,324.048000,144.97,69.35
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0948.png,FILE210926-101400F,948,-38.1736322,145.1081116,84.900000,322.824000,139.92,26.84
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0960.png,FILE210926-101400F,960,-38.1736170,145.1080970,84.900000,321.600000,153.70,61.16
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0972.png,FILE210926-101400F,972,-38.1736056,145.1080796,84.900000,319.202000,187.56,115.85
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0984.png,FILE210926-101400F,984,-38.1735942,145.1080622,84.900000,316.804000,112.66,12.25
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_0996.png,FILE210926-101400F,996,-38.1735828,145.1080448,84.900000,314.406000,0.00,0.00
E:\TensorFlow2\TFODCourse\minor_thesis\data_sources\dashcam_tour_frankston\split\FILE210926-101400F_1008.png,FILE210926-101400F,1008,-38.1735714,145.1080274,84.900000,312.008000,0.00,0.00
